TYPE,CYL,ENGINE L,FUEL TANK L,CONS. L/100km,FUEL TYPE,CAR
Passenger,6,3.0,80,11.0,PETROL,Maserati Ghibli
Passenger,6,3.0,80,8.7,PETROL,Mercedes-Benz CLS-Class
SUV,4,2.0,70,10.4,PETROL,SsangYong Rexton
SUV,8,6.4,93,14.0,PETROL,Jeep Grand  Cherokee
SUV,8,5.7,93,13.0,PETROL,Jeep Grand  Cherokee
Passenger,8,5.0,66,11.3,PETROL,Lexus GS
SUV,8,5.0,82,11.7,PETROL,Jaguar F-PACE
SUV,8,5.0,82,11.7,PETROL,Land  Rover Range  Rover Velar
SUV,8,5.0,104,12.8,PETROL,Land  Rover Range  Rover Sport
Passenger,8,4.4,68,10.6,PETROL,BMW 5  Series
Passenger,8,4.4,68,10.4,PETROL,BMW M5
SUV,8,4.4,83,12.5,PETROL,BMW X5 M
SUV,8,4.4,83,12.5,PETROL,BMW X6 M
SUV,8,4.4,83,11.5,PETROL,BMW X5
SUV,8,4.4,83,11.5,PETROL,BMW X6
SUV,8,4.0,85,12.6,PETROL,Mercedes-Benz GLE-Class
SUV,8,4.0,90,11.9,PETROL,Porsche Cayenne
Passenger,8,4.0,80,9.3,PETROL,Mercedes-Benz E-Class
SUV,8,3.8,80,13.5,PETROL,Maserati Levante
Passenger,6,3.5,66,9.3,PETROL,Lexus GS
SUV,6,3.5,72,9.6,PETROL,Lexus RX
SUV,6,3.0,80,11.6,PETROL,Maserati Levante
Passenger,6,3.0,63,7.4,PETROL,Audi A6
Passenger,6,3.0,63,7.3,PETROL,Audi A7
SUV,6,3.0,82,9.4,PETROL,Land  Rover Range  Rover Velar
SUV,6,3.0,80,9.1,PETROL,Mercedes-Benz GLE-Class
Passenger,6,3.0,74,8.3,PETROL,Jaguar XF
Passenger,6,3.0,80,8.9,PETROL,Mercedes-Benz CLS-Class
Passenger,6,3.0,80,8.9,PETROL,Mercedes-Benz E-Class
SUV,6,3.0,83,9.2,PETROL,BMW X5
SUV,6,3.0,82,8.9,PETROL,Jaguar F-PACE
SUV,6,3.0,83,9.0,PETROL,BMW X6
SUV,6,3.0,90,9.2,PETROL,Porsche Cayenne
SUV,6,2.9,90,9.4,PETROL,Porsche Cayenne
SUV,4,2.0,80,10.9,PETROL,Haval H9
SUV,4,2.0,75,10.2,PETROL,LDV D90
SUV,4,2.0,60,7.6,PETROL,SKODA Kodiaq
Passenger,4,2.0,61,7.6,PETROL,Holden Calais
Passenger,4,2.0,61,7.4,PETROL,Holden Commodore
Passenger,4,2.0,66,8.0,PETROL,Lexus GS
SUV,4,2.0,71,8.5,PETROL,Volvo XC90
Passenger,4,2.0,66,7.8,PETROL,Mercedes-Benz CLS-Class
SUV,4,2.0,63,7.1,PETROL,Jaguar F-PACE
SUV,4,2.0,72,8.1,PETROL,Lexus RX
Passenger,4,2.0,66,7.1,PETROL,Mercedes-Benz E-Class
Passenger,4,2.0,63,6.3,PETROL,Audi A6
Passenger,4,2.0,66,6.6,PETROL,SKODA Superb
Passenger,4,2.0,68,6.5,PETROL,BMW 5  Series
SUV,4,2.0,82,7.6,PETROL,Land  Rover Range  Rover Velar
Passenger,4,2.0,74,6.8,PETROL,Jaguar XF
SUV,4,2.0,104,9.2,PETROL,Land  Rover Range  Rover Sport
Passenger,6,3.8,77,10.4,PETROL,Genesis G80
SUV,6,3.6,60,9.9,PETROL,Subaru Outback
Passenger,6,3.6,61,9.1,PETROL,Holden Calais
Passenger,6,3.6,61,8.9,PETROL,Holden Commodore
SUV,6,3.6,66,9.6,PETROL,Jeep Wrangler
SUV,6,3.6,73,8.9,PETROL,Holden Acadia
SUV,6,3.6,93,10.0,PETROL,Jeep Grand  Cherokee
SUV,6,3.5,71,10.6,PETROL,Hyundai Santa  Fe
SUV,6,3.5,71,10.0,PETROL,Kia Sorento
SUV,6,3.5,73,9.9,PETROL,Nissan Pathfinder
SUV,6,3.5,72,9.1,PETROL,Toyota Kluger
Passenger,6,3.3,60,10.2,PETROL,Kia Stinger
SUV,4,2.5,60,7.3,PETROL,Subaru Outback
SUV,4,2.5,73,8.6,PETROL,Nissan Pathfinder
